12,2008,243.5,13,8,  #,Yuan,et,al.,2008, ChJA&A,8, 714;,K, M,giants, Oort,constants,,,,,,,,,,,,,,,,,
7,2009,254,16,8.4,  #,Reid,et,al.,2009, ApJ,700, 137;,18,masers,,,,,,,,,,,,,,,,,,,,
7,2009,247,12,8.4,  #,Reid,et,al.,2009, ApJ,700, 137;,Sgr,A*,motion,,,,,,,,,,,,,,,,,,,
7,2009,250,10,8.4,  #,Reid,et,al.,2009, ApJ,700, 137;,combination,of,masers,and,Sgr,A*,motion,,,,,,,,,,,,,,,
10,2009,244,13,8.2,  #,Bovy,et,al.,2009, ApJ,704, 1704;,masers,+,Sgr,A*,,,,,,,,,,,,,,,,,,
10,2009,236,11,8.2,  #,Bovy,et,al.,2009, ApJ,704, 1704;,masers, Sgr,A*, GD-1,stellar,stream,,,,,,,,,,,,,,,,
12,2009,235,10,8.03, #,Zhu,2009, RAA,9, 1285;,OCs,,,,,,,,,,,,,,,,,,,,,,,
1,2010,239,12,7.98, #,Shen,&,Zhang,2010, ChA&A,34, 89;,215,Cepheids,with,complete,radial,velocity,and,photometric,data,(Hipparcos), combined,with,PLR,,,,,,,,,
2,2010,200,20,6.7,  #,McMillan,&,Binney,2010, MNRAS,402, 934;,18,masers, lower,limit,,,,,,,,,,,,,,,,,,
2,2010,279,33,8.9,  #,McMillan,&,Binney,2010, MNRAS,402, 934;,18,masers, upper,limit,,,,,,,,,,,,,,,,,,
3,2010,224,13,8.5,  #,Koposov,et,al.,2010, ApJ,712, 260;,-2,km,s-1;,GD-1,stream:,orbital,fit,,,,,,,,,,,,,,,
3,2010,221,18,8.5,  #,Koposov,et,al.,2010, ApJ,712, 260;,-4,km,s-1;,no,priors,,,,,,,,,,,,,,,,,
9,2010,240,20,8.3,  #,Sato,et,al.,2010, ApJ,720, 1055;,W51,maser,parallax,,,,,,,,,,,,,,,,,,,
11,2010,248,14,8,  #,Bobylev,&,Bajkova,2010, MNRAS,408, 1788;,28,masers,,,,,,,,,,,,,,,,,,,,
2,2011,213,5,7.8, #,Ando,et,al.,2011, PASJ,63, 45;,masers,in,the,ON,2N,star-forming,region,(solar,circle),,,,,,,,,,,,,
4,2011,243,16,8,  #,Stepanishchev,&,Bobylev,2011, AstL,37, 254;,28,masers,,,,,,,,,,,,,,,,,,,,
6,2011,239,7,8.3,  #,Brunthaler,et,al.,2011, AN,332, 461;,18,Galactic,masers,-,parallaxes, stellar,orbits, Sgr,A*,PM,,,,,,,,,,,,
6,2011,246,7,8.3,  #,Brunthaler,et,al.,2011, AN,332, 461;,old,solar,motion:,DISCARD,,,,,,,,,,,,,,,,,,
7,2011,239,5,8.29, #,McMillan,2011, MNRAS,414, 2446;,Galactic,mass,modeling,,,,,,,,,,,,,,,,,,,,,
8,2011,213,10,7.8, #,Sofue,et,al.,2011, PASJ,63, 867;,near-solar-circle,objects,from,the,literature,(HII,regions, masers),,,,,,,,,,,,,,
9,2012,230,14,8,  #,Bajkova,&,Bobylev,2012, AstL,38, 549;,44,masers,,,,,,,,,,,,,,,,,,,,
11,2012,242,6,8.1,  #,Bovy,et,al.,2012, ApJ,759, 131;,7,km,s-1;,3365,stars,from,APOGEE, primarily,RGs,,,,,,,,,,,,,
11,2012,218,6,8.1,  #,Bovy,et,al.,2012, ApJ,759, 131;,3365,stars,from,APOGEE, primarily,RGs,,,,,,,,,,,,,,,,
